Model,Team,Condition,Provider,Metric,mean,ci
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,Restraint,0.599,0.003
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,Restraint,0.544,0.005
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,Restraint,0.551,0.008
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Restraint,0.55,0.008
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Restraint,0.507,0.005
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Restraint,0.526,0.005
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Restraint,0.543,0.005
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,Restraint,0.556,0.004
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Restraint,0.52,0.006
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Restraint,0.532,0.005
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Restraint,0.523,0.008
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.402,0.01
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.602,0.007
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.547,0.001
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.485,0.002
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.535,0.006
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.486,0.003
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.481,0.003
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.503,0.009
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Restraint,0.66,0
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.447,0.011
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.644,0.008
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.631,0.009
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.637,0.005
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.639,0.007
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.615,0.021
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,Restraint,0.646,0.005
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.662,0.002
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.632,0.005
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.664,0.001
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.426,0.024
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.633,0.011
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.606,0.003
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.609,0.012
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.6,0.003
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.606,0.011
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.617,0.012
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Google + Anthropic,Restraint,0.508,0.003
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Restraint,0.528,0.005
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.424,0.008
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.604,0.013
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.535,0.011
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Restraint,0.452,0.002
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Restraint,0.52,0.008
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Restraint,0.455,0.003
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Restraint,0.448,0.004
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.487,0.004
Gemini 2.5 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Restraint,0.539,0.007
Gemini 2.5 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.525,0.006
Gemini 2.5 Flash + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Restraint,0.503,0.002
Gemini 2.5 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Restraint,0.517,0.009
Gemini 2.5 Flash + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,Restraint,0.538,0.003
Gemini 2.5 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Restraint,0.499,0.003
Gemini 2.5 Pro + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Restraint,0.586,0.006
Gemini 2.5 Pro + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.403,0.013
Gemini 2.5 Pro + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.615,0.001
Gemini 2.5 Pro + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.57,0.004
Gemini 2.5 Pro + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Restraint,0.563,0.002
Gemini 2.5 Pro + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Restraint,0.551,0.008
Gemini 2.5 Pro + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Google + AMBOSS,Restraint,0.586,0.003
Gemini 2.5 Pro + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Restraint,0.569,0.005
Gemini 2.5 Pro + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Restraint,0.567,0.007
Gemini 2.5 Pro + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Restraint,0.569,0.004
Llama 4 Maverick + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,Restraint,0.529,0.008
Llama 4 Maverick + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,Restraint,0.56,0.01
Llama 4 Maverick + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.45,0.021
Llama 4 Maverick + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.626,0.006
Llama 4 Maverick + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.566,0.012
Llama 4 Maverick + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,Restraint,0.476,0.004
Llama 4 Maverick + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,Restraint,0.523,0.007
Llama 4 Maverick + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Meta + AMBOSS,Restraint,0.543,0.003
Llama 4 Maverick + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,Restraint,0.491,0.002
Llama 4 Maverick + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,Restraint,0.484,0.005
Llama 4 Maverick + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.529,0.005
Llama 4 Scout + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Meta + Anthropic,Restraint,0.518,0.009
Llama 4 Scout + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Meta + DeepSeek,Restraint,0.547,0.005
Llama 4 Scout + GPT-4.1,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.441,0.002
Llama 4 Scout + GPT-5,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.629,0.009
Llama 4 Scout + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.554,0.006
Llama 4 Scout + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Meta + Google,Restraint,0.455,0.003
Llama 4 Scout + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Meta + Google,Restraint,0.52,0.007
Llama 4 Scout + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Meta + Meta,Restraint,0.451,0.003
Llama 4 Scout + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Meta + Meta,Restraint,0.448,0.004
Llama 4 Scout + o3 mini,2-Agent Teams,Advisor + Guardian,Meta + OpenAI,Restraint,0.513,0.004
o3 mini + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Restraint,0.61,0.007
o3 mini + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Restraint,0.665,0.022
o3 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.472,0.023
o3 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.672,0.002
o3 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.634,0.007
o3 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.629,0.015
o3 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Restraint,0.597,0.012
o3 mini + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.694,0.02
o3 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Restraint,0.668,0.02
o3 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Restraint,0.685,0.027
DeepSeek R1 + DeepSeek R1 + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + DeepSeek,Restraint,0.551,0.006
DeepSeek R1 + DeepSeek R1 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + DeepSeek + OpenAI,Restraint,0.595,0.005
DeepSeek R1 + Gemini 2.0 Flash + Claude 3.7 Sonnet,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Anthropic,Restraint,0.515,0.006
DeepSeek R1 + Gemini 2.0 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Restraint,0.548,0.003
DeepSeek R1 + Gemini 2.0 Flash + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + AMBOSS,Restraint,0.547,0.005
DeepSeek R1 + Gemini 2.5 Flash + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Restraint,0.59,0.004
DeepSeek R1 + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + Google,Restraint,0.538,0.005
DeepSeek R1 + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,DeepSeek + Google + OpenAI,Restraint,0.591,0.008
GPT-5 + GPT-5 + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,OpenAI + OpenAI + OpenAI,Restraint,0.651,0.008
Gemini 2.0 Flash + Claude 3.7 Sonnet + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + Google,Restraint,0.523,0.009
Gemini 2.0 Flash + Claude 3.7 Sonnet + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + Anthropic + AMBOSS,Restraint,0.536,0.003
Gemini 2.0 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Restraint,0.579,0.013
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Flash,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Restraint,0.502,0.003
Gemini 2.5 Flash + Gemini 2.5 Flash + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Restraint,0.53,0.003
Gemini 2.5 Flash + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + DeepSeek,Restraint,0.539,0.008
Gemini 2.5 Flash + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Restraint,0.573,0.006
Gemini 2.5 Flash + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Restraint,0.539,0.007
Gemini 2.5 Flash + Llama 4 Maverick + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + DeepSeek,Restraint,0.533,0.006
Gemini 2.5 Flash + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + OpenAI,Restraint,0.584,0.005
Gemini 2.5 Flash + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Meta + Google,Restraint,0.534,0.006
Gemini 2.5 Pro + GPT-5 mini + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + OpenAI,Restraint,0.593,0.005
Gemini 2.5 Pro + GPT-5 mini + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Google + OpenAI + AMBOSS,Restraint,0.58,0.004
Gemini 2.5 Pro + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + OpenAI,Restraint,0.602,0.003
Gemini 2.5 Pro + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Google + Google + Google,Restraint,0.567,0.007
Llama 4 Maverick + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,Restraint,0.588,0.015
Llama 4 Maverick + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Restraint,0.492,0.004
Llama 4 Scout + Gemini 2.5 Pro + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + DeepSeek,Restraint,0.524,0.007
Llama 4 Scout + Gemini 2.5 Pro + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + OpenAI,Restraint,0.583,0.007
Llama 4 Scout + Gemini 2.5 Pro + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Google,Restraint,0.526,0.005
Llama 4 Scout + Gemini 2.5 Pro + LiSA 1.0,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + AMBOSS,Restraint,0.548,0.006
Llama 4 Scout + Gemini 2.5 Pro + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Google + Meta,Restraint,0.52,0.006
Llama 4 Scout + Llama 4 Maverick + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,Restraint,0.608,0.008
Llama 4 Scout + Llama 4 Maverick + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,Restraint,0.54,0.008
Llama 4 Scout + Llama 4 Maverick + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Restraint,0.45,0.004
Llama 4 Scout + Llama 4 Maverick + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Restraint,0.45,0.003
Llama 4 Scout + Llama 4 Scout + DeepSeek R1,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + DeepSeek,Restraint,0.53,0.005
Llama 4 Scout + Llama 4 Scout + GPT-5,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + OpenAI,Restraint,0.609,0.006
Llama 4 Scout + Llama 4 Scout + Gemini 2.5 Pro,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Google,Restraint,0.53,0.002
Llama 4 Scout + Llama 4 Scout + Llama 4 Maverick,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Restraint,0.448,0.005
Llama 4 Scout + Llama 4 Scout + Llama 4 Scout,3-Agent Teams,Advisor + Guardian + Guardian,Meta + Meta + Meta,Restraint,0.447,0.007
Claude 3.7 Sonnet,Solo Models,Advisor,Anthropic,Restraint,0.543,0.004
Claude Haiku 4.5,Solo Models,Advisor,Anthropic,Restraint,0.494,0.007
Claude Sonnet 4.5,Solo Models,Advisor,Anthropic,Restraint,0.591,0.005
DeepSeek R1,Solo Models,Advisor,DeepSeek,Restraint,0.521,0.005
DeepSeek V3.1,Solo Models,Advisor,DeepSeek,Restraint,0.478,0.004
GPT-4.1,Solo Models,Advisor,OpenAI,Restraint,0.487,0.003
GPT-4.1 mini,Solo Models,Advisor,OpenAI,Restraint,0.498,0.003
GPT-4o,Solo Models,Advisor,OpenAI,Restraint,0.487,0.007
GPT-4o mini,Solo Models,Advisor,OpenAI,Restraint,0.554,0.007
GPT-5,Solo Models,Advisor,OpenAI,Restraint,0.631,0.012
GPT-5 mini,Solo Models,Advisor,OpenAI,Restraint,0.601,0.008
GPT-5 nano,Solo Models,Advisor,OpenAI,Restraint,0.534,0.006
Gemini 2.0 Flash,Solo Models,Advisor,Google,Restraint,0.452,0.003
Gemini 2.5 Flash,Solo Models,Advisor,Google,Restraint,0.485,0.007
Gemini 2.5 Pro,Solo Models,Advisor,Google,Restraint,0.545,0.011
Gemini 3 Pro,Solo Models,Advisor,Google,Restraint,0.648,0.02
Glass Health 4.0,Solo Models,Advisor,Glass Health,Restraint,0.613,0.016
Grok 4,Solo Models,Advisor,xAI,Restraint,0.537,0.012
Grok 4 Fast,Solo Models,Advisor,xAI,Restraint,0.532,0.013
Kimi K2,Solo Models,Advisor,Moonshot AI,Restraint,0.469,0.007
AMBOSS LiSA 1.0,Solo Models,Advisor,AMBOSS,Restraint,0.541,0.004
Llama 3.3 70b,Solo Models,Advisor,Meta,Restraint,0.451,0.005
Llama 4 Maverick,Solo Models,Advisor,Meta,Restraint,0.491,0.003
Llama 4 Scout,Solo Models,Advisor,Meta,Restraint,0.446,0.001
Mistral Large 2.1,Solo Models,Advisor,Mistral AI,Restraint,0.532,0.015
Mistral Medium 3.1,Solo Models,Advisor,Mistral AI,Restraint,0.505,0.008
Qwen3 235B,Solo Models,Advisor,Alibaba,Restraint,0.49,0.006
Qwen3 32B,Solo Models,Advisor,Alibaba,Restraint,0.46,0.005
o1,Solo Models,Advisor,OpenAI,Restraint,0.59,0.005
o1 mini,Solo Models,Advisor,OpenAI,Restraint,0.479,0.004
o3 mini,Solo Models,Advisor,OpenAI,Restraint,0.693,0.008
o4 mini,Solo Models,Advisor,OpenAI,Restraint,0.651,0.004
Claude 3.7 Sonnet + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Anthropic + Anthropic,Safety,0.673,0.011
Claude 3.7 Sonnet + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Anthropic + DeepSeek,Safety,0.681,0.008
Claude 3.7 Sonnet + GPT-4.1,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Safety,0.374,0.022
Claude 3.7 Sonnet + GPT-5,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Safety,0.665,0.017
Claude 3.7 Sonnet + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Safety,0.657,0.035
Claude 3.7 Sonnet + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Safety,0.656,0.029
Claude 3.7 Sonnet + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Safety,0.697,0.011
Claude 3.7 Sonnet + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Safety,0.654,0.026
Claude 3.7 Sonnet + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Anthropic + Meta,Safety,0.65,0.02
Claude 3.7 Sonnet + o3 mini,2-Agent Teams,Advisor + Guardian,Anthropic + OpenAI,Safety,0.652,0.03
Claude Sonnet 4.5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Anthropic + Google,Safety,0.68,0.015
Claude Sonnet 4.5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,Anthropic + AMBOSS,Safety,0.691,0.008
DeepSeek R1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,DeepSeek + Anthropic,Safety,0.687,0.025
DeepSeek R1 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,DeepSeek + DeepSeek,Safety,0.663,0.015
DeepSeek R1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Safety,0.671,0.015
DeepSeek R1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Safety,0.689,0.014
DeepSeek R1 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Safety,0.681,0.011
DeepSeek R1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,DeepSeek + Google,Safety,0.686,0.01
DeepSeek R1 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,DeepSeek + AMBOSS,Safety,0.701,0.012
DeepSeek R1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,DeepSeek + Meta,Safety,0.675,0.012
DeepSeek R1 + o3 mini,2-Agent Teams,Advisor + Guardian,DeepSeek + OpenAI,Safety,0.672,0.014
GPT-4.1 + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,OpenAI + Anthropic,Safety,0.657,0.013
GPT-4.1 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.328,0.02
GPT-4.1 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.659,0.006
GPT-4.1 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.66,0.005
GPT-4.1 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.633,0.022
GPT-4.1 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.693,0.011
GPT-4.1 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.615,0.02
GPT-4.1 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.617,0.013
GPT-4.1 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.627,0.018
GPT-5 + DeepSeek R1,2-Agent Teams,Advisor + Guardian,OpenAI + DeepSeek,Safety,0.65,0.021
GPT-5 + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.347,0.018
GPT-5 + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.64,0.013
GPT-5 + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.634,0.009
GPT-5 + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.64,0.014
GPT-5 + Gemini 2.5 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.654,0.018
GPT-5 + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.667,0.022
GPT-5 + LiSA 1.0,2-Agent Teams,Advisor + Guardian,OpenAI + AMBOSS,Safety,0.633,0.013
GPT-5 + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.635,0.029
GPT-5 + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.62,0.037
GPT-5 + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.616,0.023
GPT-5 mini + GPT-4.1,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.327,0.059
GPT-5 mini + GPT-5,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.621,0.017
GPT-5 mini + GPT-5 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.626,0.037
GPT-5 mini + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.613,0.03
GPT-5 mini + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,OpenAI + Google,Safety,0.664,0.024
GPT-5 mini + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,OpenAI + Meta,Safety,0.577,0.029
GPT-5 mini + o3 mini,2-Agent Teams,Advisor + Guardian,OpenAI + OpenAI,Safety,0.58,0.025
Gemini 2.0 Flash + Claude 3.7 Sonnet,2-Agent Teams,Advisor + Guardian,Google + Anthropic,Safety,0.694,0.015
Gemini 2.0 Flash + DeepSeek R1,2-Agent Teams,Advisor + Guardian,Google + DeepSeek,Safety,0.661,0.02
Gemini 2.0 Flash + GPT-4.1,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.443,0.045
Gemini 2.0 Flash + GPT-5,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.674,0.021
Gemini 2.0 Flash + GPT-5 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.67,0.023
Gemini 2.0 Flash + Gemini 2.0 Flash,2-Agent Teams,Advisor + Guardian,Google + Google,Safety,0.614,0.007
Gemini 2.0 Flash + Gemini 2.5 Pro,2-Agent Teams,Advisor + Guardian,Google + Google,Safety,0.679,0.02
Gemini 2.0 Flash + Llama 4 Maverick,2-Agent Teams,Advisor + Guardian,Google + Meta,Safety,0.61,0.011
Gemini 2.0 Flash + Llama 4 Scout,2-Agent Teams,Advisor + Guardian,Google + Meta,Safety,0.605,0.002
Gemini 2.0 Flash + o3 mini,2-Agent Teams,Advisor + Guardian,Google + OpenAI,Safety,0.643,0.014
